Timesteps,Mean Reward,Std Reward,score,steps,CollectOneMonitor.CollectOne,CollectPermMonitor.CollectPerm,DrainMonitor.Drain,NoCollectMonitor.NoCollect,RescueMonitor.Rescue
0,-197.44,314.03137805002865,12.55,1000.0,0.68,0.0,0.23,0.42,0.24
5000,-202.5,337.4444398712179,17.5,1000.0,0.68,0.0,0.09,0.42,0.12
10000,31.568,133.56473702291336,125.05,935.82,0.68,0.06,0.13,0.36,0.1
15000,234.40400000000002,100.42323229213447,273.45,403.86,0.41,0.13,0.73,0.85,0.48
20000,217.45100000000002,101.04081303611922,268.15,522.99,0.49,0.05,0.52,0.69,0.43
25000,252.50800000000004,64.2451253870673,289.35,382.82,0.4,0.13,0.75,0.8,0.59
30000,248.46299999999997,84.21263878421101,282.8,359.47,0.39,0.26,0.87,0.83,0.68
35000,275.70400000000006,7.957247262715921,300.0,246.96,0.29,0.2,0.85,0.93,0.71
40000,277.87999999999994,4.4148386153969446,300.0,232.4,0.36,0.29,0.97,0.89,0.62
45000,100.528,157.34010237698462,171.05,691.62,0.42,0.09,0.47,0.81,0.34
50000,192.16200000000003,291.68452951090836,273.7,317.18,0.27,0.22,0.85,1.1,0.54
55000,278.043,5.301136764883547,300.0,224.17,0.31,0.18,0.95,0.92,0.67
60000,276.655,7.472768897804885,300.0,228.35,0.28,0.22,1.05,0.95,0.77
65000,276.94700000000006,6.499914691747886,300.0,226.93,0.33,0.19,0.82,0.91,0.57
70000,277.668,6.113196872341018,300.0,222.42,0.3,0.27,1.05,1.02,0.73
75000,277.026,9.685831094955144,300.0,234.54,0.24,0.24,1.0,1.14,0.67
80000,277.25499999999994,8.600550854451127,300.0,220.35,0.3,0.18,0.96,0.95,0.67
85000,277.836,6.080238811099445,300.0,221.64,0.28,0.22,0.91,0.97,0.6
90000,279.05400000000003,4.471631022345203,300.0,220.06,0.27,0.23,0.95,1.02,0.75
95000,279.35900000000004,4.382467227487271,300.0,223.21,0.31,0.21,0.81,0.95,0.49
100000,278.908,7.013952951082576,300.0,226.22,0.28,0.22,0.94,1.03,0.68
