Timesteps,Mean Reward,Std Reward,Death,Timeout,UnloadDanger,UnloadMarket,DangerMonitor.Danger,DeliveryMonitor.Delivery,EnvFriendlyMonitor.EnvFriendly,EvolvingMonitor.Evolving,PacifistMonitor.CTD,PacifistMonitor.Danger,PacifistMonitor.Pacifist(total)
0,70.1,187.3525820478597,0.485,0.208,0.849,0.307,3.258,2.625,0.504,0.616,1.43,3.258,4.688
250000,350.0,200.0,0.2,0.0,0.0,0.8,0.942,0.0,0.8,1.6,0.542,0.942,1.484
500000,609.75,36.97887910686315,0.0,0.0,1.505,1.0,1.505,0.935,2.0,3.0,0.0,1.505,1.505
750000,711.0,166.520269036535,0.052,0.0,0.732,0.948,0.983,0.948,2.628,2.628,0.147,0.983,1.13
1000000,722.1,58.36600037693177,0.0,0.0,0.935,1.0,0.935,0.935,2.749,3.749,0.0,0.935,0.935
1250000,642.6,252.04213933388206,0.131,0.0,0.939,0.869,1.626,0.869,2.616,2.616,0.425,1.626,2.051
1500000,741.9,33.902654763307254,0.0,0.0,0.946,1.0,0.946,0.946,2.892,3.664,0.0,0.946,0.946
1750000,741.75,34.197039345533994,0.0,0.0,0.945,1.0,0.945,0.945,2.89,3.639,0.0,0.945,0.945
2000000,750.0,0.0,0.0,0.0,0.918,1.0,0.918,1.0,2.918,3.677,0.0,0.918,0.918
2250000,750.0,0.0,0.0,0.0,0.923,1.0,0.923,1.0,2.923,3.649,0.0,0.923,0.923
2500000,750.0,0.0,0.0,0.0,0.941,1.0,0.941,1.0,2.941,3.706,0.0,0.941,0.941
2750000,750.0,0.0,0.0,0.0,0.948,1.0,0.948,1.0,2.948,3.709,0.0,0.948,0.948
3000000,750.0,0.0,0.0,0.0,0.926,1.0,0.926,1.0,2.926,3.646,0.0,0.926,0.926
3250000,722.4,58.122628983899205,0.0,0.0,0.938,1.0,0.938,0.938,2.754,3.754,0.0,0.938,0.938
3500000,750.0,0.0,0.0,0.0,0.929,1.0,0.929,1.0,2.929,3.646,0.0,0.929,0.929
3750000,750.0,0.0,0.0,0.0,0.94,1.0,0.94,1.0,2.94,3.684,0.0,0.94,0.94
4000000,607.25,277.4075296382562,0.146,0.0,0.929,0.854,1.65,0.783,2.318,3.318,0.429,1.65,2.079
4250000,723.15,57.50284775556772,0.0,0.0,0.93,1.0,0.93,0.93,2.751,3.751,0.0,0.93,0.93
4500000,721.8,58.60682554105794,0.0,0.0,0.945,1.0,0.945,0.945,2.757,3.757,0.0,0.945,0.945
4750000,729.7,117.46450527712618,0.029,0.0,0.934,0.971,1.099,1.0,2.876,3.615,0.107,1.099,1.206
5000000,719.4,60.445347215480524,0.0,0.0,0.945,1.0,0.945,0.945,2.741,3.741,0.0,0.945,0.945
