Timesteps,Mean Reward,Std Reward,ConditionalVeganMonitor.ConditionalVegan,HungryMonitor.Hungr,HungryVeganMonitor.Hungr,HungryVeganMonitor.VegetarianBlue,HungryVeganMonitor.VegetarianOrange,HungryVeganPenaltyMonitor.CTD Violations,HungryVeganPenaltyMonitor.Hungr,HungryVeganPenaltyMonitor.VegetarianBlue,HungryVeganPenaltyMonitor.VegetarianOrange,HungryVegetarianMonitor.Hungr,HungryVegetarianMonitor.VegetarianOrange,PenaltyMonitor.CTD,PenaltyMonitor.Penalty(total),VeganMonitor.Vegan,VeganPreferenceMonitor.VegetarianBlue,VeganPreferenceMonitor.VegetarianOrange,VegetarianBlueMonitor.VegetarianBlue,VegetarianOrangeMonitor.VegetarianOrange
0,-5.60954,0.5301480815772137,0.0,0.998,0.998,0.0,0.0,0.0,0.998,0.0,0.0,0.998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
250000,10.53452,5.817150519764811,1.507,0.768,0.768,1.258,1.241,2.398,0.768,1.258,1.241,0.768,1.241,2.299,4.798,2.499,1.258,1.241,1.258,1.241
500000,13.56641,5.193120546636675,1.614,0.77,0.77,1.691,1.525,3.134,0.77,1.691,1.525,0.77,1.525,3.071,6.287,3.216,1.691,1.525,1.691,1.525
750000,12.848700000000001,6.335732941815019,1.598,0.785,0.785,1.648,1.545,3.108,0.785,1.648,1.545,0.785,1.545,2.982,6.175,3.193,1.648,1.545,1.648,1.545
1000000,14.07192,5.353126760464392,1.613,0.788,0.788,1.803,1.625,3.341,0.788,1.803,1.625,0.788,1.625,3.265,6.693,3.428,1.803,1.625,1.803,1.625
1250000,14.61337,4.876339502444431,1.829,0.903,0.903,1.785,1.776,3.477,0.903,1.785,1.776,0.903,1.776,3.397,6.958,3.561,1.785,1.776,1.785,1.776
1500000,14.92207,4.831927194722619,1.746,0.775,0.775,1.83,1.797,3.551,0.775,1.83,1.797,0.775,1.797,3.459,7.086,3.627,1.83,1.797,1.83,1.797
1750000,14.92219,4.981131287559083,1.886,0.764,0.764,1.83,1.821,3.569,0.764,1.83,1.821,0.764,1.821,3.482,7.133,3.651,1.83,1.821,1.83,1.821
2000000,13.96579,5.904650521063885,1.75,0.781,0.781,1.741,1.781,3.45,0.781,1.741,1.781,0.781,1.781,3.303,6.825,3.522,1.741,1.781,1.741,1.781
2250000,14.683200000000001,5.198790586280621,1.869,0.82,0.82,1.829,1.815,3.56,0.82,1.829,1.815,0.82,1.815,3.454,7.098,3.644,1.829,1.815,1.829,1.815
2500000,14.80676,5.220652804238183,1.887,0.773,0.773,1.802,1.784,3.507,0.773,1.802,1.784,0.773,1.784,3.417,7.003,3.586,1.802,1.784,1.802,1.784
2750000,14.60928,5.278180849648864,1.764,0.781,0.781,1.788,1.799,3.525,0.781,1.788,1.799,0.781,1.799,3.373,6.96,3.587,1.788,1.799,1.788,1.799
3000000,14.866209999999999,5.006579904076235,1.741,0.783,0.783,1.785,1.79,3.484,0.783,1.785,1.79,0.783,1.79,3.385,6.96,3.575,1.785,1.79,1.785,1.79
3250000,14.640669999999998,5.069642911596437,1.861,0.806,0.806,1.848,1.865,3.627,0.806,1.848,1.865,0.806,1.865,3.525,7.238,3.713,1.848,1.865,1.848,1.865
3500000,14.15087,5.383599924130692,1.882,0.773,0.773,1.843,1.848,3.606,0.773,1.843,1.848,0.773,1.848,3.484,7.175,3.691,1.843,1.848,1.843,1.848
3750000,14.67146,5.32636281794622,1.809,0.694,0.694,1.85,1.821,3.599,0.694,1.85,1.821,0.694,1.821,3.48,7.151,3.671,1.85,1.821,1.85,1.821
4000000,14.7832,5.241079713188877,1.778,0.806,0.806,1.797,1.817,3.507,0.806,1.797,1.817,0.806,1.817,3.37,6.984,3.614,1.797,1.817,1.797,1.817
4250000,14.696909999999999,5.062253623822102,1.879,0.786,0.786,1.851,1.836,3.612,0.786,1.851,1.836,0.786,1.836,3.484,7.171,3.687,1.851,1.836,1.851,1.836
4500000,14.570720000000001,5.204918009114073,1.82,0.785,0.785,1.815,1.823,3.564,0.785,1.815,1.823,0.785,1.823,3.399,7.037,3.638,1.815,1.823,1.815,1.823
4750000,14.79698,4.960633536112096,1.948,0.737,0.737,1.849,1.884,3.652,0.737,1.849,1.884,0.737,1.884,3.528,7.261,3.733,1.849,1.884,1.849,1.884
5000000,14.9124,4.834236283013068,1.875,0.778,0.778,1.811,1.836,3.573,0.778,1.811,1.836,0.778,1.836,3.441,7.088,3.647,1.811,1.836,1.811,1.836
