Timesteps,Mean Reward,Std Reward,EmergencyMonitor.Emergency Violations,EmergencyMonitor.Safety Violations,EmergencyMonitor.Stay Violations,EmergencyMonitor.Warn Violations
0,-95.341,23.488437985528112,6.108,2.543,2.697,0.868
250000,-46.597,11.852366472565722,6.342,2.488,3.049,0.805
500000,-11.644,19.974064784114425,3.701,1.452,1.401,0.848
750000,1.677,6.374062362418492,2.558,0.915,0.666,0.977
1000000,2.571,5.092834083297825,2.491,0.831,0.685,0.975
1250000,2.564,5.0870329269624355,2.504,0.867,0.638,0.999
1500000,2.645,5.0367623529406265,2.488,0.848,0.693,0.947
1750000,2.794,4.7395742424821234,2.352,0.841,0.541,0.97
2000000,2.888,4.652037833036185,2.451,0.834,0.666,0.951
2250000,2.948,4.763748104171756,2.453,0.828,0.625,1.0
2500000,3.248,4.83120026494452,2.49,0.801,0.698,0.991
2750000,2.72,5.436322286251984,2.582,0.841,0.741,1.0
3000000,3.399,4.647988704805552,2.468,0.816,0.675,0.977
3250000,1.778,7.804916143047278,2.425,0.857,0.592,0.976
3500000,3.527,4.818015255268501,2.37,0.807,0.566,0.997
3750000,3.656,4.409270234403874,2.346,0.779,0.567,1.0
4000000,2.546,6.022946455016847,2.572,0.851,0.73,0.991
4250000,3.465,4.561225164360997,2.445,0.805,0.672,0.968
4500000,3.224,5.07659570972517,2.515,0.803,0.728,0.984
4750000,3.407,4.372110588720281,2.422,0.803,0.619,1.0
5000000,3.507,4.475706759831345,2.51,0.789,0.721,1.0
